Country Name,region,Image URL,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"France, Paris",Europe,https://cdn.countryflags.com/thumbs/france/flag-800.png,"6,283,000","6,305,000","6,326,000","6,348,000","6,680,000","6,796,000","6,915,000","7,036,000","7,159,000","7,283,000","7,411,000","7,540,000","7,651,000","7,718,000","7,787,000","7,855,000","7,925,000","7,995,000","8,065,000","8,136,000","8,208,000","8,281,000","8,354,000","8,427,000","8,502,000","8,558,000","8,580,000","8,602,000","8,625,000","8,647,000","8,669,000","8,692,000","8,731,000","8,805,000","8,881,000","8,956,000","9,033,000","9,110,000","9,187,000","9,265,000","9,330,000","9,366,000","9,402,000","9,438,000","9,474,000","9,510,000","9,547,000","9,583,000","9,620,000","9,667,000","9,737,000","9,806,000","9,877,000","9,948,000","10,020,000","10,092,000","10,164,000","10,238,000","10,311,000","10,385,000","10,460,000","10,514,000","10,569,000","10,623,000","10,678,000","10,734,000","10,789,000","10,845,000","10,901,000","10,958,000"
"DRC, Kinshasa",Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-800.png,202,217,234,252,272,292,315,339,365,402,443,488,537,591,651,717,790,869,939,"1,002,000","1,070,000","1,142,000","1,219,000","1,301,000","1,388,000","1,482,000","1,582,000","1,688,000","1,802,000","1,923,000","2,053,000","2,191,000","2,338,000","2,496,000","2,664,000","2,812,000","2,968,000","3,133,000","3,307,000","3,490,000","3,683,000","3,888,000","4,104,000","4,331,000","4,571,000","4,825,000","5,093,000","5,375,000","5,641,000","5,885,000","6,140,000","6,406,000","6,683,000","6,972,000","7,274,000","7,589,000","7,918,000","8,261,000","8,619,000","8,992,000","9,382,000","9,788,000","10,212,000","10,655,000","11,116,000","11,598,000","12,100,000","12,624,000","13,171,000","13,743,000"
"Ivory Coast, Abidjan",Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-800.png,65,74,85,96,110,125,137,149,162,176,192,209,227,247,277,310,347,389,436,489,548,614,689,772,865,966,"1,056,000","1,159,000","1,269,000","1,325,000","1,384,000","1,444,000","1,508,000","1,575,000","1,644,000","1,716,000","1,792,000","1,871,000","1,951,000","2,025,000","2,102,000","2,182,000","2,266,000","2,352,000","2,442,000","2,535,000","2,632,000","2,732,000","2,836,000","2,926,000","3,007,000","3,091,000","3,177,000","3,265,000","3,355,000","3,448,000","3,544,000","3,642,000","3,743,000","3,847,000","3,954,000","4,063,000","4,176,000","4,292,000","4,411,000","4,533,000","4,659,000","4,788,000","4,921,000","5,059,000"
"Canada, Montreal",North America,https://cdn.countryflags.com/thumbs/canada/flag-800.png,"1,343,000","1,400,000","1,459,000","1,521,000","1,585,000","1,652,000","1,722,000","1,794,000","1,870,000","1,949,000","2,031,000","2,115,000","2,176,000","2,240,000","2,306,000","2,373,000","2,442,000","2,500,000","2,560,000","2,621,000","2,684,000","2,744,000","2,756,000","2,768,000","2,780,000","2,791,000","2,803,000","2,808,000","2,813,000","2,818,000","2,824,000","2,830,000","2,848,000","2,867,000","2,885,000","2,904,000","2,926,000","2,981,000","3,038,000","3,095,000","3,154,000","3,211,000","3,234,000","3,258,000","3,282,000","3,305,000","3,330,000","3,354,000","3,379,000","3,404,000","3,429,000","3,458,000","3,511,000","3,564,000","3,619,000","3,674,000","3,728,000","3,770,000","3,812,000","3,854,000","3,897,000","3,939,000","3,971,000","4,004,000","4,037,000","4,070,000","4,104,000","4,138,000","4,172,000","4,196,000"
"Haiti, Port au Prince",Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-800.png,133,142,151,160,171,182,193,206,219,233,247,263,280,298,317,337,359,382,406,432,460,489,511,531,553,575,598,622,647,673,701,729,758,796,837,881,927,975,"1,025,000","1,078,000","1,134,000","1,193,000","1,255,000","1,310,000",1367,"1,427,000","1,490,000","1,529,000","1,569,000","1,611,000","1,693,000","1,780,000","1,871,000","1,967,000","2,067,000","2,171,000","2,280,000","2,395,000","2,516,000","2,643,000","2,141,000","2,197,000","2,255,000","2,315,000","2,376,000","2,439,000","2,503,000","2,569,000","2,637,000","2,704,000"
"Senegal, Dakar",Africa,https://cdn.countryflags.com/thumbs/senegal/flag-800.png,214,229,230,230,231,235,256,279,303,330,359,384,405,426,449,473,498,524,552,581,610,641,674,708,744,782,820,852,886,921,957,995,"1,035,000","1,075,000","1,118,000","1,162,000","1,208,000","1,256,000","1,304,000","1,344,000","1,384,000","1,426,000","1,469,000","1,513,000","1,559,000","1,605,000","1,654,000","1,704,000","1,755,000","1,808,000","1,862,000","1,918,000","1,976,000","2,028,000","2,081,000","2,135,000","2,190,000","2,247,000","2,306,000","2,365,000","2,427,000","2,490,000","2,554,000","2,620,000","2,688,000","2,758,000","2,830,000","2,903,000","2,978,000","3,057,000"
"Cameroon, Yaounde",Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-800.png,32,35,38,41,45,49,53,58,63,69,75,82,90,95,101,112,124,137,151,167,183,201,221,242,266,292,318,340,364,388,415,444,474,506,541,578,618,658,696,735,777,821,868,917,969,"1,025,000","1,083,000","1,144,000","1,209,000","1,278,000","1,351,000","1,428,000","1,509,000","1,595,000","1,686,000","1,781,000","1,883,000","1,990,000","2,103,000","2,222,000","2,349,000","2,482,000","2,623,000","2,773,000","2,930,000","3,097,000","3,273,000","3,459,000","3,656,000","3,822,000"
"France, Lyon",Europe,https://cdn.countryflags.com/thumbs/france/flag-800.png,731,734,736,738,744,768,794,820,847,875,904,934,962,983,"1,005,000","1,027,000","1,050,000","1,073,000","1,093,000","1,104,000","1,116,000","1,127,000","1,139,000","1,151,000","1,163,000","1,178,000","1,197,000","1,217,000","1,237,000","1,257,000","1,278,000","1,299,000","1,315,000","1,322,000","1,329,000","1,336,000","1,343,000","1,350,000","1,356,000","1,363,000","1,370,000","1,377,000","1,384,000","1,390,000","1,397,000","1,404,000","1,411,000","1,417,000","1,424,000","1,433,000","1,446,000","1,458,000","1,471,000","1,484,000","1,497,000","1,510,000","1,523,000","1,536,000","1,550,000","1,563,000","1,577,000","1,590,000","1,604,000","1,618,000","1,632,000","1,647,000","1,661,000","1,675,000","1,690,000","1,705,000"
"DRC, Lubumbashi",Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-800.png,96,107,116,125,135,145,157,165,174,184,194,204,215,226,238,251,264,278,293,309,325,338,352,366,381,396,412,428,446,464,482,502,522,543,565,588,613,639,666,693,722,753,784,817,851,887,924,963,"1,003,000","1,045,000","1,089,000","1,135,000","1,182,000","1,232,000","1,283,000","1,337,000","1,393,000","1,452,000","1,513,000","1,576,000","1,642,000","1,711,000","1,783,000","1,858,000","1,936,000","2,017,000","2,101,000","2,190,000","2,281,000","2,377,000"
"Burkina Faso, Ouagadougou",Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-800.png,33,37,39,41,43,46,48,51,53,56,59,63,67,72,77,82,87,93,99,107,115,124,134,144,155,167,182,200,220,241,265,291,320,351,386,424,452,472,493,515,537,561,586,612,639,667,696,739,795,856,921,991,"1,066,000","1,147,000","1,234,000","1,328,000","1,428,000","1,514,000","1,587,000","1,663,000","1,742,000","1,825,000","1,913,000","2,004,000","2,100,000","2,200,000","2,306,000","2,416,000","2,531,000","2,653,000"
